EmployeeID,Age,Gender,Education,Role,Department,YearsAtCompany,YearsInRole,MonthlyIncome,PercentSalaryHike,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,OverTime,DistanceFromHome,ManagerStyle,RemoteWorkOption,StockOptions,TotalWorkingYears,BusinessTravel,Attrition
1015,45,Female,Master's,Junior SE,Backend,16,6,49131,19,2,1,3,2,3,0,1,No,8,Supportive,Hybrid,2,29,Travel_Rarely,No
1016,51,Female,Bachelor's,Mid SE,DevOps,5,3,55652,7,2,3,2,2,3,2,8,No,25,Neutral,On-site,2,6,Travel_Frequently,No
1017,23,Non-binary,Bootcamp,Junior SE,ML/AI,10,3,241045,10,3,2,3,2,3,1,6,No,7,Demanding,Hybrid,2,16,Non-Travel,No
1018,42,Male,Bachelor's,Tech Lead,Backend,15,3,223219,17,1,2,4,1,3,3,8,No,42,Supportive,Full Remote,3,34,Travel_Frequently,No
1019,54,Male,Master's,Tech Lead,DevOps,7,4,92671,16,2,2,4,1,3,5,8,No,8,Neutral,Hybrid,3,11,Travel_Frequently,Yes
1020,33,Male,Bachelor's,Tech Lead,Mobile,10,4,134342,23,2,2,3,3,3,1,4,No,24,Demanding,Full Remote,2,11,Travel_Rarely,No
1021,43,Male,Bachelor's,Mid SE,DevOps,6,7,64171,22,2,4,2,2,3,2,6,No,17,Neutral,Hybrid,0,25,Travel_Rarely,No
1022,46,Female,Master's,Tech Lead,DevOps,18,8,231764,28,4,4,4,2,3,2,4,No,12,Supportive,Hybrid,3,19,Travel_Frequently,No
1023,48,Male,Master's,Senior SE,DevOps,9,1,103541,5,3,3,2,1,4,1,2,Yes,46,Supportive,Hybrid,1,32,Travel_Frequently,No
1024,49,Female,Bachelor's,Mid SE,Frontend,8,6,54470,29,4,1,2,3,3,2,7,No,31,Demanding,On-site,1,8,Travel_Rarely,No
1025,37,Male,Bachelor's,Senior SE,DevOps,3,0,237416,11,4,1,4,1,3,5,7,No,12,Demanding,Full Remote,3,12,Non-Travel,Yes
1026,36,Female,PhD,Junior SE,QA,14,0,89308,16,1,1,1,2,3,6,8,No,2,Supportive,On-site,1,6,Travel_Frequently,Yes
1027,24,Female,Bachelor's,Junior SE,DevOps,12,3,226711,14,4,2,1,2,3,0,5,No,12,Supportive,On-site,2,21,Non-Travel,No
1028,28,Male,Bachelor's,Senior SE,Frontend,1,9,197398,16,1,4,2,4,3,4,1,Yes,27,Demanding,Full Remote,1,26,Non-Travel,No
1029,42,Male,PhD,Junior SE,Frontend,1,6,180669,15,4,4,4,4,4,2,2,Yes,46,Neutral,On-site,3,1,Travel_Frequently,No
1030,30,Male,PhD,Senior SE,Mobile,15,1,147840,8,2,3,1,4,3,2,5,No,7,Demanding,Hybrid,0,17,Travel_Frequently,No
1031,39,Male,Bachelor's,Mid SE,ML/AI,8,1,206860,23,3,1,3,3,4,1,0,Yes,13,Supportive,Hybrid,1,27,Travel_Frequently,No
1032,25,Male,Master's,Tech Lead,Backend,12,0,241092,10,4,4,2,1,3,0,1,Yes,36,Toxic,Full Remote,1,2,Travel_Rarely,No
1033,46,Male,Master's,Staff SE,Backend,2,9,94477,29,1,3,1,2,4,1,7,Yes,1,Demanding,Hybrid,0,1,Travel_Rarely,Yes
1034,35,Male,PhD,Principal SE,DevOps,8,1,153261,13,3,1,4,2,4,6,7,Yes,49,Supportive,On-site,3,10,Travel_Frequently,No
1035,30,Female,Master's,Mid SE,Mobile,12,6,147466,24,1,2,4,3,3,5,5,No,35,Neutral,Full Remote,0,31,Non-Travel,No
1036,47,Male,Bachelor's,Junior SE,DevOps,1,8,78071,14,2,4,2,2,3,1,2,No,30,Supportive,Full Remote,1,5,Travel_Rarely,No
1037,23,Female,Bachelor's,Mid SE,Backend,7,5,246675,9,4,4,4,2,3,2,1,No,31,Neutral,Full Remote,3,13,Travel_Rarely,No
1038,41,Male,Bachelor's,Junior SE,Frontend,8,9,237995,17,3,1,3,1,3,0,5,No,17,Demanding,Hybrid,2,24,Non-Travel,No
1039,49,Female,Master's,Junior SE,ML/AI,15,1,115560,13,2,2,3,4,4,5,0,Yes,8,Supportive,On-site,3,27,Non-Travel,No
1040,28,Male,Bachelor's,Senior SE,Mobile,1,9,249323,6,4,2,1,4,3,2,5,Yes,3,Demanding,Hybrid,3,1,Non-Travel,No
1041,29,Male,Master's,Mid SE,Frontend,5,9,233564,22,4,4,4,3,3,5,8,No,10,Supportive,Full Remote,2,20,Travel_Rarely,No
1042,56,Female,Bachelor's,Staff SE,ML/AI,7,8,207842,25,1,1,3,4,4,2,6,No,34,Demanding,Hybrid,3,8,Non-Travel,No
1043,35,Male,Bachelor's,Junior SE,Mobile,4,6,121762,5,1,3,2,4,4,2,8,Yes,22,Neutral,Hybrid,1,3,Travel_Rarely,Yes
1044,38,Female,PhD,Mid SE,Mobile,8,0,211471,28,2,4,4,3,3,2,1,No,4,Demanding,Full Remote,1,32,Travel_Rarely,No
1045,57,Female,Master's,Junior SE,Backend,0,8,233511,25,1,2,1,3,4,4,4,No,32,Supportive,Hybrid,1,25,Travel_Rarely,No
1046,25,Male,Bachelor's,Principal SE,Frontend,8,1,220487,16,2,3,2,4,3,3,8,No,29,Neutral,Full Remote,1,25,Non-Travel,No
1047,23,Male,Master's,Tech Lead,Mobile,9,3,188641,14,2,1,2,1,3,0,6,Yes,46,Neutral,On-site,2,14,Travel_Rarely,No
1048,27,Male,Bachelor's,Tech Lead,QA,3,8,47369,6,2,2,2,3,3,6,8,No,11,Neutral,Hybrid,1,27,Non-Travel,Yes
1049,25,Female,Master's,Principal SE,Mobile,2,3,154963,13,1,3,3,2,4,4,5,Yes,46,Neutral,On-site,3,32,Non-Travel,No
1050,50,Male,Master's,Mid SE,ML/AI,9,2,45528,6,3,4,2,3,3,3,6,No,13,Neutral,On-site,0,27,Non-Travel,No
1051,39,Male,Bachelor's,Mid SE,Backend,14,0,153806,27,2,2,3,2,3,5,4,No,4,Toxic,On-site,2,4,Travel_Rarely,Yes
1052,47,Male,Master's,Mid SE,DevOps,10,6,206386,28,3,1,2,3,3,3,5,No,2,Supportive,Full Remote,2,11,Non-Travel,No
1053,55,Female,Master's,Senior SE,Backend,13,5,147979,26,4,2,3,3,3,3,0,Yes,34,Demanding,On-site,0,3,Non-Travel,No
1054,31,Male,Master's,Mid SE,DevOps,5,9,194119,18,1,4,4,4,3,4,0,Yes,43,Neutral,On-site,1,25,Non-Travel,No
1055,57,Male,Bachelor's,Mid SE,Frontend,11,3,64748,15,1,1,3,4,4,0,1,No,22,Neutral,On-site,1,24,Travel_Frequently,Yes
1056,35,Female,Bachelor's,Principal SE,Frontend,12,5,80109,27,3,4,3,4,3,1,3,No,5,Neutral,Full Remote,3,9,Travel_Frequently,Yes
1057,52,Non-binary,Bootcamp,Staff SE,Mobile,16,5,58919,15,4,3,4,1,3,3,8,No,9,Demanding,Full Remote,1,8,Non-Travel,No
1058,36,Male,Bachelor's,Tech Lead,QA,15,3,92498,21,4,2,2,4,4,1,6,No,20,Neutral,On-site,1,31,Non-Travel,Yes
1059,29,Male,Master's,Tech Lead,Frontend,2,5,100808,8,2,4,4,4,4,1,5,Yes,21,Demanding,Full Remote,3,17,Travel_Frequently,No
1060,35,Male,Master's,Senior SE,Mobile,1,9,115441,17,1,3,2,3,3,2,0,No,17,Supportive,Full Remote,1,31,Non-Travel,No
1061,44,Female,Master's,Junior SE,Backend,10,7,158843,11,4,1,3,3,3,1,4,Yes,12,Demanding,Hybrid,0,4,Non-Travel,No
1062,42,Male,Bachelor's,Junior SE,Frontend,8,2,119420,20,4,1,2,1,4,5,3,Yes,28,Supportive,On-site,1,4,Non-Travel,Yes
1063,37,Male,Bachelor's,Senior SE,Backend,2,3,204978,5,2,3,3,2,4,5,4,No,18,Neutral,Hybrid,0,8,Travel_Frequently,No
1064,39,Female,Master's,Senior SE,Backend,17,9,152447,17,2,3,2,3,3,2,8,No,3,Neutral,On-site,0,6,Travel_Rarely,No
1065,45,Female,Bachelor's,Junior SE,QA,19,0,247558,5,3,1,3,3,3,0,2,No,5,Neutral,Hybrid,0,9,Non-Travel,No
1066,47,Male,Bachelor's,Principal SE,Frontend,14,3,111896,15,1,4,3,2,3,6,3,No,14,Neutral,Full Remote,1,8,Non-Travel,No
1067,46,Female,Bachelor's,Junior SE,Backend,13,9,148431,10,4,3,1,1,3,0,7,No,48,Supportive,Hybrid,1,32,Travel_Frequently,No
1068,50,Male,Bachelor's,Mid SE,QA,1,9,198018,24,3,4,2,3,3,5,2,Yes,26,Neutral,Hybrid,2,15,Travel_Rarely,No
1069,36,Male,PhD,Senior SE,QA,16,8,92020,7,1,1,2,4,3,6,2,No,19,Neutral,Hybrid,3,18,Travel_Rarely,No
1070,22,Male,Bachelor's,Junior SE,Frontend,7,7,67161,16,3,4,1,1,3,2,8,No,41,Supportive,Hybrid,3,23,Non-Travel,No
1071,46,Non-binary,Bachelor's,Junior SE,QA,9,3,72738,9,1,4,3,2,4,0,4,No,17,Supportive,Full Remote,2,5,Travel_Rarely,No
1072,28,Male,Bachelor's,Mid SE,Frontend,17,6,179997,13,1,3,3,2,3,6,0,No,39,Demanding,Hybrid,0,27,Non-Travel,Yes
1073,30,Male,Master's,Tech Lead,Frontend,18,9,184535,16,4,4,1,4,3,6,6,No,42,Demanding,Hybrid,3,33,Travel_Rarely,No
1074,45,Male,Master's,Mid SE,DevOps,7,2,102153,14,1,4,1,4,4,3,6,No,4,Supportive,Hybrid,2,2,Non-Travel,No
1075,22,Female,Bachelor's,Senior SE,Backend,7,8,106009,23,2,4,4,4,3,0,5,No,42,Supportive,Full Remote,0,28,Non-Travel,No
1076,29,Male,Master's,Senior SE,ML/AI,2,9,132938,9,4,1,3,1,3,2,5,No,35,Supportive,Full Remote,2,24,Travel_Rarely,No
1077,45,Male,Master's,Junior SE,Frontend,2,3,144546,9,2,1,4,2,4,6,2,Yes,24,Demanding,Hybrid,1,21,Travel_Frequently,No
1078,32,Male,PhD,Staff SE,Backend,11,1,217624,13,3,2,2,4,3,5,2,No,41,Demanding,On-site,1,31,Non-Travel,No
1079,38,Male,Master's,Junior SE,QA,16,9,101271,24,3,1,4,4,4,3,8,Yes,13,Supportive,Hybrid,0,11,Non-Travel,Yes
1080,29,Female,Bachelor's,Staff SE,Mobile,3,4,54797,21,1,1,1,2,3,1,0,Yes,33,Demanding,Full Remote,0,28,Travel_Rarely,Yes
1081,56,Female,Bachelor's,Senior SE,Frontend,16,1,131130,14,1,2,1,3,3,1,6,Yes,15,Supportive,Hybrid,1,4,Travel_Rarely,No
1082,56,Male,Bachelor's,Staff SE,QA,13,9,116942,25,2,2,1,1,4,1,6,Yes,15,Supportive,Hybrid,3,16,Travel_Rarely,No
1083,54,Male,Bachelor's,Junior SE,QA,18,5,163065,5,2,3,1,3,3,5,7,No,31,Toxic,Hybrid,3,12,Travel_Rarely,No
1084,26,Female,Bootcamp,Mid SE,QA,8,9,58965,26,2,3,4,4,4,6,5,No,43,Demanding,Hybrid,1,22,Non-Travel,No
1085,49,Male,Bachelor's,Junior SE,QA,11,0,58733,20,3,1,4,1,3,2,7,Yes,28,Demanding,Hybrid,3,16,Travel_Rarely,Yes
1086,28,Male,Bachelor's,Junior SE,QA,4,5,229295,19,2,4,4,3,3,1,0,Yes,10,Neutral,Hybrid,1,24,Non-Travel,No
1087,30,Non-binary,Master's,Senior SE,Frontend,10,3,172182,27,4,3,1,2,4,0,0,No,7,Supportive,Full Remote,2,28,Travel_Frequently,No
1088,29,Female,Master's,Junior SE,ML/AI,19,2,202998,21,4,3,1,4,3,1,8,Yes,33,Demanding,Full Remote,2,29,Travel_Rarely,No
1089,33,Male,Bachelor's,Senior SE,DevOps,2,1,204855,24,3,1,3,1,3,6,3,No,7,Demanding,Hybrid,2,21,Travel_Rarely,No
1090,55,Male,Bachelor's,Junior SE,QA,14,6,128360,29,2,4,3,1,3,4,2,Yes,5,Supportive,Hybrid,3,25,Non-Travel,No
1091,54,Male,Bachelor's,Mid SE,QA,13,8,212466,17,2,2,1,1,3,5,5,Yes,26,Neutral,On-site,2,31,Non-Travel,No
1092,44,Male,Master's,Tech Lead,DevOps,10,2,153378,5,1,2,3,1,4,4,8,No,16,Demanding,Hybrid,0,15,Travel_Rarely,No
1093,45,Male,Bachelor's,Mid SE,Frontend,19,5,240868,29,4,1,2,4,4,1,3,No,8,Toxic,On-site,0,22,Non-Travel,No
1094,56,Male,Bachelor's,Senior SE,Backend,7,8,73287,12,3,1,2,4,3,6,8,No,22,Demanding,Full Remote,2,5,Travel_Frequently,No
1095,43,Male,Master's,Senior SE,Mobile,3,1,127104,9,2,4,1,2,3,1,4,Yes,34,Demanding,On-site,0,13,Travel_Rarely,No
1096,48,Female,Bachelor's,Tech Lead,Mobile,11,6,206508,10,1,1,4,2,3,4,6,No,40,Supportive,Hybrid,2,32,Non-Travel,No
1097,56,Female,Master's,Mid SE,Backend,7,4,131916,27,3,1,2,2,3,6,2,No,28,Neutral,Hybrid,2,3,Non-Travel,No
1098,22,Male,Master's,Senior SE,Frontend,5,4,249639,24,3,1,2,3,4,5,2,Yes,46,Demanding,Full Remote,1,15,Travel_Rarely,No
1099,56,Male,Bachelor's,Staff SE,Mobile,14,6,48188,18,4,4,4,2,3,5,2,Yes,36,Supportive,Full Remote,2,27,Non-Travel,No
1100,35,Female,Bootcamp,Senior SE,DevOps,11,8,136205,26,2,1,3,4,3,1,7,Yes,47,Demanding,On-site,0,27,Travel_Rarely,No
1101,24,Male,Master's,Mid SE,Backend,15,3,142349,27,3,3,4,3,4,5,5,No,7,Toxic,Full Remote,3,30,Travel_Rarely,No
1102,22,Male,Bachelor's,Senior SE,ML/AI,15,8,182837,15,1,4,3,4,3,3,8,Yes,40,Supportive,Full Remote,2,6,Non-Travel,No
1103,26,Non-binary,Master's,Senior SE,Frontend,19,9,227698,10,1,3,3,3,3,6,8,No,43,Demanding,Full Remote,1,25,Travel_Rarely,No
1104,47,Male,Master's,Senior SE,Backend,19,8,186879,15,3,4,4,2,3,6,7,Yes,28,Demanding,Full Remote,0,28,Travel_Rarely,No
1105,35,Female,Master's,Junior SE,Mobile,3,3,55204,17,1,3,3,2,4,5,0,Yes,2,Neutral,Hybrid,1,22,Travel_Frequently,No
1106,48,Non-binary,Bachelor's,Junior SE,Frontend,10,2,234016,16,3,4,2,2,3,6,5,Yes,9,Demanding,Hybrid,2,4,Travel_Rarely,No
1107,30,Male,Bootcamp,Tech Lead,DevOps,12,1,87120,26,1,2,1,3,3,4,3,No,6,Supportive,Hybrid,2,15,Travel_Rarely,No
1108,36,Male,Bachelor's,Mid SE,Frontend,8,8,147903,6,3,1,3,4,4,2,3,Yes,1,Demanding,Hybrid,2,26,Non-Travel,No
1109,36,Male,Bachelor's,Senior SE,Frontend,3,1,198730,25,3,1,2,1,4,4,2,No,3,Supportive,On-site,2,18,Non-Travel,No
1110,47,Female,Bachelor's,Mid SE,DevOps,11,5,82081,7,3,4,4,4,4,0,8,No,10,Demanding,On-site,0,9,Non-Travel,No
1111,34,Female,Bachelor's,Mid SE,QA,8,4,79986,27,1,3,3,2,3,3,1,No,37,Neutral,Hybrid,3,4,Travel_Rarely,No
1112,53,Female,Master's,Junior SE,DevOps,12,4,124322,8,3,2,2,3,3,2,0,No,44,Supportive,Hybrid,2,5,Non-Travel,No
1113,53,Male,Bachelor's,Junior SE,Frontend,15,3,139819,21,4,3,3,3,3,1,2,No,23,Neutral,Hybrid,1,6,Travel_Rarely,No
1114,25,Female,Bachelor's,Staff SE,DevOps,5,5,175015,26,3,1,4,2,3,6,3,No,33,Supportive,Hybrid,0,12,Non-Travel,No
1115,51,Female,PhD,Principal SE,QA,9,4,95304,10,2,1,1,3,3,0,3,No,9,Supportive,On-site,0,31,Travel_Rarely,No
1116,44,Female,Bachelor's,Senior SE,Backend,12,3,110592,11,2,3,3,2,3,0,5,Yes,13,Supportive,Hybrid,0,9,Travel_Rarely,No
1117,36,Non-binary,Bachelor's,Mid SE,DevOps,6,8,103548,19,4,4,1,4,3,3,0,Yes,28,Demanding,Hybrid,1,7,Travel_Rarely,No
1118,50,Female,Bachelor's,Senior SE,DevOps,18,5,143447,15,3,4,3,3,3,2,0,No,7,Demanding,Hybrid,3,29,Travel_Frequently,No
1119,57,Female,Bachelor's,Senior SE,Frontend,18,9,84986,28,2,3,3,1,4,0,1,No,26,Toxic,On-site,1,14,Travel_Rarely,No
1120,34,Male,Bachelor's,Senior SE,Backend,16,9,119095,7,3,1,4,3,3,2,3,No,16,Demanding,On-site,1,20,Non-Travel,No
1121,53,Male,Master's,Junior SE,ML/AI,12,9,136594,10,2,3,3,2,3,2,6,Yes,40,Demanding,On-site,1,32,Travel_Rarely,No
1122,28,Male,Bachelor's,Senior SE,ML/AI,12,2,133281,6,1,1,2,1,3,5,5,No,26,Supportive,Hybrid,2,22,Travel_Rarely,No
1123,43,Female,Bachelor's,Tech Lead,Mobile,1,9,111151,18,1,3,2,2,3,0,8,No,39,Demanding,Full Remote,2,18,Travel_Rarely,Yes
1124,49,Male,Master's,Staff SE,DevOps,9,5,118598,13,4,4,1,3,3,2,6,No,32,Demanding,On-site,1,25,Travel_Frequently,No
1125,23,Female,Master's,Junior SE,DevOps,12,0,73214,22,4,2,1,1,3,3,4,No,36,Supportive,Full Remote,1,31,Non-Travel,No
1126,27,Non-binary,Bachelor's,Senior SE,Backend,8,4,83745,23,3,1,2,1,4,0,5,No,42,Demanding,Hybrid,2,26,Travel_Frequently,No
1127,49,Female,Master's,Senior SE,QA,0,9,218620,16,4,2,1,3,4,3,8,Yes,1,Neutral,Hybrid,2,4,Non-Travel,No
1128,49,Male,Bachelor's,Mid SE,ML/AI,13,5,186753,17,3,4,1,1,3,3,0,No,49,Toxic,Hybrid,3,20,Travel_Rarely,No
1129,41,Male,Master's,Junior SE,Mobile,15,7,183056,16,1,3,2,4,4,2,8,No,21,Demanding,Hybrid,1,34,Non-Travel,No
1130,51,Male,Master's,Mid SE,Backend,19,8,203651,16,1,4,2,1,3,2,5,No,13,Toxic,On-site,0,12,Non-Travel,No
1131,32,Female,Bachelor's,Mid SE,DevOps,14,2,135810,22,2,2,2,1,4,5,3,No,26,Supportive,Full Remote,3,16,Travel_Frequently,No
1132,49,Female,PhD,Mid SE,ML/AI,0,1,231005,13,3,4,4,4,3,6,4,No,45,Supportive,On-site,0,5,Travel_Rarely,No
1133,46,Female,Bachelor's,Senior SE,Mobile,16,3,203471,21,1,4,4,2,3,5,0,Yes,9,Toxic,On-site,3,27,Travel_Frequently,No
1134,54,Male,Master's,Senior SE,Frontend,12,7,207553,25,1,3,2,2,4,0,6,Yes,37,Supportive,On-site,1,1,Non-Travel,No
1135,22,Female,Bachelor's,Senior SE,ML/AI,14,7,45944,20,3,2,3,4,3,5,7,No,23,Neutral,Hybrid,0,34,Travel_Rarely,No
1136,48,Female,Master's,Principal SE,Mobile,15,2,138993,21,2,2,2,1,3,1,4,No,1,Neutral,Hybrid,2,32,Travel_Rarely,No
1137,34,Male,Master's,Mid SE,Backend,15,3,54114,25,2,2,4,3,4,0,1,Yes,2,Demanding,On-site,3,33,Non-Travel,No
1138,24,Female,PhD,Junior SE,Frontend,1,2,84846,28,2,1,1,4,4,3,7,No,43,Supportive,Hybrid,0,31,Non-Travel,No
1139,27,Male,Bachelor's,Senior SE,Mobile,16,9,77596,12,2,4,3,3,3,5,6,No,28,Supportive,Hybrid,3,13,Non-Travel,No
1140,29,Male,Master's,Junior SE,Mobile,10,1,149087,15,1,2,3,2,3,5,8,Yes,36,Neutral,Hybrid,1,2,Travel_Frequently,No
1141,48,Female,Master's,Mid SE,DevOps,7,3,51907,28,3,4,1,4,4,6,3,Yes,31,Neutral,Full Remote,0,30,Travel_Rarely,No
1142,30,Male,Master's,Junior SE,QA,19,5,204186,6,3,3,3,3,4,5,8,Yes,41,Supportive,Hybrid,0,10,Non-Travel,No
1143,54,Female,Master's,Junior SE,ML/AI,2,4,70009,12,1,3,1,1,3,2,3,No,5,Demanding,Hybrid,0,23,Non-Travel,No
1144,45,Female,Master's,Tech Lead,DevOps,11,2,129846,16,1,1,4,4,4,3,2,No,37,Demanding,Hybrid,3,33,Non-Travel,No
1145,36,Male,Bachelor's,Mid SE,Frontend,19,1,95241,25,1,1,3,3,4,5,2,No,25,Demanding,Full Remote,2,29,Travel_Rarely,No
1146,53,Male,Bachelor's,Mid SE,QA,15,8,211797,5,4,3,3,4,3,4,1,No,8,Supportive,On-site,2,30,Travel_Frequently,No
1147,53,Male,Master's,Junior SE,Mobile,13,0,63996,27,3,2,1,4,4,4,2,No,34,Demanding,Hybrid,2,34,Travel_Rarely,No
1148,45,Female,Bachelor's,Senior SE,DevOps,15,8,182119,17,3,3,1,2,3,3,7,No,39,Toxic,Hybrid,1,17,Non-Travel,No
1149,33,Male,Bootcamp,Mid SE,QA,16,0,73767,26,3,4,4,2,3,5,7,No,49,Neutral,On-site,0,22,Travel_Rarely,No
1150,23,Male,Master's,Senior SE,ML/AI,10,6,61347,25,2,1,1,1,3,6,1,No,32,Supportive,Hybrid,2,5,Travel_Frequently,No
1151,24,Male,Bootcamp,Mid SE,Frontend,16,5,147063,21,1,1,1,2,3,1,1,Yes,11,Toxic,On-site,2,11,Travel_Rarely,No
1152,38,Female,Bachelor's,Junior SE,Backend,18,6,69102,18,1,3,4,2,4,6,1,No,47,Neutral,Hybrid,0,22,Travel_Frequently,No
1153,23,Male,PhD,Mid SE,DevOps,0,2,49263,18,1,2,2,2,3,1,6,No,25,Demanding,On-site,1,32,Non-Travel,No
1154,23,Female,Master's,Junior SE,Frontend,11,2,153585,20,4,2,2,3,4,0,5,Yes,3,Supportive,Hybrid,3,24,Travel_Rarely,No
1155,49,Female,Master's,Mid SE,Backend,14,0,112438,21,3,4,1,4,4,0,0,No,45,Demanding,Hybrid,3,11,Travel_Rarely,No
1156,44,Male,Master's,Mid SE,DevOps,17,3,141359,10,1,1,4,2,4,6,1,No,32,Toxic,Hybrid,3,11,Travel_Rarely,No
1157,53,Male,Bachelor's,Principal SE,Frontend,13,1,206612,11,4,3,2,3,3,5,0,No,35,Neutral,Hybrid,0,17,Travel_Rarely,No
1158,54,Non-binary,Master's,Junior SE,Frontend,0,9,175251,5,1,3,4,4,3,6,6,No,32,Supportive,Full Remote,1,32,Non-Travel,No
1159,22,Female,Master's,Senior SE,QA,12,7,239841,29,2,1,1,2,3,0,5,Yes,34,Supportive,On-site,0,19,Non-Travel,No
1160,40,Female,Bachelor's,Junior SE,DevOps,14,2,216915,19,3,3,1,2,4,2,1,No,37,Supportive,Hybrid,3,27,Travel_Frequently,No
1161,23,Female,Bachelor's,Mid SE,Frontend,6,6,72690,24,4,1,4,4,3,1,1,No,5,Neutral,On-site,2,32,Non-Travel,No
1162,47,Male,Bootcamp,Mid SE,Mobile,14,6,47994,25,1,2,3,3,4,3,1,No,45,Demanding,Hybrid,2,25,Travel_Frequently,No
1163,53,Male,PhD,Principal SE,DevOps,19,8,148533,22,3,2,1,3,4,6,7,No,28,Supportive,Hybrid,2,28,Travel_Rarely,No
1164,27,Male,Bootcamp,Junior SE,Frontend,9,5,112546,17,4,3,1,1,4,5,6,No,28,Supportive,On-site,3,27,Travel_Rarely,No
1165,53,Male,Master's,Junior SE,QA,13,0,183449,28,3,2,1,4,3,5,0,Yes,8,Neutral,On-site,1,14,Travel_Frequently,No
1166,25,Male,Bachelor's,Mid SE,Backend,5,7,123572,6,3,2,1,1,3,4,3,No,27,Neutral,Hybrid,3,2,Travel_Rarely,No
1167,32,Male,Bachelor's,Junior SE,Backend,13,0,71467,23,2,4,4,3,4,1,3,No,16,Neutral,On-site,0,17,Travel_Rarely,No
1168,38,Male,Bachelor's,Junior SE,Mobile,11,2,176120,19,3,1,4,2,3,1,6,No,18,Demanding,Hybrid,1,1,Non-Travel,No
1169,45,Female,Bachelor's,Senior SE,DevOps,10,4,213050,16,4,1,4,1,4,1,1,No,25,Demanding,Full Remote,2,32,Travel_Frequently,No
1170,26,Female,Bachelor's,Junior SE,QA,19,7,92606,19,3,3,4,3,3,6,3,No,48,Supportive,Hybrid,1,19,Travel_Rarely,No
1171,55,Male,Bachelor's,Junior SE,Frontend,18,8,143112,29,4,1,3,3,4,0,0,No,1,Neutral,On-site,1,14,Travel_Rarely,Yes
1172,27,Female,Bachelor's,Senior SE,Frontend,1,6,118414,22,3,4,4,2,4,2,3,Yes,8,Neutral,On-site,3,31,Travel_Rarely,No
1173,43,Male,Bootcamp,Mid SE,Backend,19,8,138145,18,1,3,4,4,3,6,0,No,21,Supportive,Full Remote,1,18,Non-Travel,Yes
1174,32,Female,Bachelor's,Junior SE,QA,0,2,225294,10,2,3,1,3,3,3,1,No,34,Neutral,On-site,3,14,Travel_Frequently,No
1175,37,Male,PhD,Mid SE,Mobile,7,4,93115,16,1,1,3,1,4,0,1,Yes,24,Demanding,On-site,0,14,Non-Travel,No
1176,54,Non-binary,Master's,Senior SE,Backend,13,9,134606,24,2,2,1,2,3,6,2,Yes,37,Supportive,Hybrid,1,24,Non-Travel,No
